gene	STARS	p_value	significant	# sgRNAs	# signif. sgRNAs
SHC4	1.94451627319	0.062015503875968984	True	5	0
FAM3C	1.79937971265	0.093023255813953432	True	5	0
SNX9	1.58501576138	0.13953488372093026	True	5	0
SPRY1	1.32378219004	0.19379844961240311	True	5	0
PTMS	1.0560574472	0.36434108527131781	False	5	0
NDFIP2	0.79384623891	0.56589147286821706	False	5	0
P2RY1	0.720346124079	0.68217054263565891	False	5	0
CLNK	0.704122430111	0.70542635658914721	False	5	0
AKAP5	0.688670047696	0.72093023255813948	False	5	0
Intergenic	0.669023205197	0.7441860465116279	False	20	0
CAMK1	0.646575973497	0.82945736434108519	False	5	0
ATP9A	-1.0	N/A	False	5	0
SRGAP3	-1.0	N/A	False	5	0
SLC29A1	-1.0	N/A	False	5	1
PHLDA1	-1.0	N/A	False	5	0
SERPINE1	-1.0	N/A	False	5	0
PTPN22	-1.0	N/A	False	5	0
XCL2	-1.0	N/A	False	5	0
NTRK1	-1.0	N/A	False	5	0
OAS1	-1.0	N/A	False	5	0
PDE7B	-1.0	N/A	False	5	0
ZAP70	-1.0	N/A	False	5	0
DUSP4	-1.0	N/A	False	5	0
MYO1E	-1.0	N/A	False	5	0
GEM	-1.0	N/A	False	5	0
PLS3	-1.0	N/A	False	5	0
ENTPD1	-1.0	N/A	False	5	0
MS4A6A	-1.0	N/A	False	5	0
LAMP1	-1.0	N/A	False	5	0
PHEX	-1.0	N/A	False	5	0
SH3BGRL2	-1.0	N/A	False	5	0
RYR1	-1.0	N/A	False	5	0
LAT	-1.0	N/A	False	5	0
