gene	STARS	p_value	significant	# sgRNAs	# signif. sgRNAs
MYO1E	2.33570453942	0.015503875968992276	True	5	2
Intergenic	1.53205450646	0.11627906976744184	True	20	2
MS4A6A	1.50991704136	0.13178294573643412	True	5	2
PHLDA1	1.29073003902	0.19379844961240311	True	5	1
DUSP4	0.836515698998	0.51162790697674421	False	5	0
PHEX	0.755277422692	0.63565891472868219	False	5	0
CAMK1	0.704122430111	0.72868217054263562	False	5	0
ATP9A	0.673950964987	0.78294573643410859	False	5	0
SH3BGRL2	0.646575973497	0.82945736434108519	False	5	0
P2RY1	0.633858435826	0.86821705426356588	False	5	1
PTPN22	0.610226685517	0.90697674418604657	False	5	0
LAT	0.599263912888	0.93023255813953476	False	5	0
SHC4	0.578936192481	1.0	False	5	0
SLC29A1	-1.0	N/A	False	5	1
FAM3C	-1.0	N/A	False	5	0
SRGAP3	-1.0	N/A	False	5	0
SPRY1	-1.0	N/A	False	5	0
SERPINE1	-1.0	N/A	False	5	0
NDFIP2	-1.0	N/A	False	5	1
NTRK1	-1.0	N/A	False	5	0
OAS1	-1.0	N/A	False	5	0
XCL2	-1.0	N/A	False	5	0
PDE7B	-1.0	N/A	False	5	0
ZAP70	-1.0	N/A	False	5	0
SNX9	-1.0	N/A	False	5	0
GEM	-1.0	N/A	False	5	1
PLS3	-1.0	N/A	False	5	0
ENTPD1	-1.0	N/A	False	5	0
CLNK	-1.0	N/A	False	5	1
LAMP1	-1.0	N/A	False	5	0
AKAP5	-1.0	N/A	False	5	0
RYR1	-1.0	N/A	False	5	0
PTMS	-1.0	N/A	False	5	0
