gene	STARS	p_value	significant	# sgRNAs	# signif. sgRNAs
ENTPD1	2.14924958745	0.06557377049180324	True	5	1
OAS1	1.321422388	0.18852459016393441	True	5	1
MYO1E	1.22359101606	0.26229508196721307	False	5	0
GEM	1.06194258622	0.39344262295081972	False	5	0
SNX9	1.0560574472	0.39344262295081972	False	5	0
CLNK	1.02773256309	0.40163934426229508	False	5	0
SERPINE1	0.995545903009	0.4098360655737705	False	5	0
ATP9A	0.965207896254	0.4344262295081967	False	5	0
CAMK1	0.836515698998	0.5901639344262295	False	5	0
Intergenic	0.823044421926	0.5901639344262295	False	20	0
RYR1	0.659930299134	0.76229508196721307	False	5	0
SRGAP3	0.621750411315	0.85245901639344257	False	5	0
PHEX	0.610226685517	0.89344262295081966	False	5	0
SLC29A1	-1.0	N/A	False	5	0
FAM3C	-1.0	N/A	False	5	0
SPRY1	-1.0	N/A	False	5	0
PHLDA1	-1.0	N/A	False	5	0
PTPN22	-1.0	N/A	False	5	0
P2RY1	-1.0	N/A	False	5	0
NDFIP2	-1.0	N/A	False	5	0
NTRK1	-1.0	N/A	False	5	0
XCL2	-1.0	N/A	False	5	0
PDE7B	-1.0	N/A	False	5	0
ZAP70	-1.0	N/A	False	5	0
DUSP4	-1.0	N/A	False	5	0
SHC4	-1.0	N/A	False	5	0
PLS3	-1.0	N/A	False	5	0
MS4A6A	-1.0	N/A	False	5	0
LAMP1	-1.0	N/A	False	5	0
AKAP5	-1.0	N/A	False	5	1
SH3BGRL2	-1.0	N/A	False	5	0
PTMS	-1.0	N/A	False	5	0
LAT	-1.0	N/A	False	5	0
