gene	STARS	p_value	significant	# sgRNAs	# signif. sgRNAs
NTRK1	3.05909914309	0.023255813953488413	True	5	0
SHC4	2.23975234154	0.038759689922480578	True	5	0
SNX9	2.23431488145	0.046511627906976716	True	5	0
PTMS	1.70187910316	0.13178294573643412	True	5	0
AKAP5	1.44207218824	0.20155038759689925	True	5	0
NDFIP2	1.2324350469	0.28682170542635649	False	5	0
FAM3C	1.17792648018	0.34883720930232553	False	5	0
ATP9A	1.09837769552	0.39534883720930242	False	5	0
OAS1	1.02773256309	0.43410852713178288	False	5	0
SLC29A1	0.814635687839	0.56589147286821706	False	5	0
GEM	0.688670047696	0.70542635658914721	False	5	0
SPRY1	0.673950964987	0.72093023255813948	False	5	0
PHEX	0.610226685517	0.89147286821705429	False	5	0
SRGAP3	-1.0	N/A	False	5	1
PHLDA1	-1.0	N/A	False	5	0
SERPINE1	-1.0	N/A	False	5	0
PTPN22	-1.0	N/A	False	5	0
XCL2	-1.0	N/A	False	5	0
CAMK1	-1.0	N/A	False	5	0
PDE7B	-1.0	N/A	False	5	0
ZAP70	-1.0	N/A	False	5	0
DUSP4	-1.0	N/A	False	5	0
MYO1E	-1.0	N/A	False	5	0
PLS3	-1.0	N/A	False	5	0
ENTPD1	-1.0	N/A	False	5	0
Intergenic	-1.0	N/A	False	20	0
CLNK	-1.0	N/A	False	5	0
MS4A6A	-1.0	N/A	False	5	0
LAMP1	-1.0	N/A	False	5	0
P2RY1	-1.0	N/A	False	5	0
SH3BGRL2	-1.0	N/A	False	5	0
RYR1	-1.0	N/A	False	5	0
LAT	-1.0	N/A	False	5	0
